,price_avg
5546,737.46
588,179.0
4761,799.0
5056,924.7449999999999
3742,1528.89
7851,597.65
6260,534.89
5170,1726.4450000000002
3630,683.385
5326,4559.0
4338,575.685
4269,705.87
7768,809.95
5698,1390.0
345,370.34000000000003
2924,603.77
4695,547.975
6912,635.95
7572,2284.95
3952,2822.53
6259,2879.9
3873,2645.47
6480,759.0
90,784.23
3784,666.0
4413,1749.29
7655,539.0
7527,1334.95
2146,1939.0
6994,949.95
6140,1516.59
4643,379.0
3000,3011.99
957,1443.9850000000001
5517,1528.71
6517,2069.9
4299,679.6400000000001
893,523.815
5372,4621.5
4700,164.985
5418,1575.19
3760,1554.99
7401,1239.95
5968,913.0250000000001
5439,288.5
4835,610.5350000000001
7935,506.95
5789,686.99
5670,749.0
2459,449.99
3681,1126.8
6129,797.8
3268,2806.955
5433,791.65
6891,725.33
6578,2183.41
2440,2859.805
4910,408.205
1729,668.0150000000001
7664,1859.9
4764,914.6949999999999
1199,440.755
7939,1949.95
5813,1124.95
6150,1814.12
7888,2463.54
151,1218.495
925,1800.025
1318,531.68
6546,1316.99
5802,1186.84
6623,1749.9
5339,610.78
1411,690.0
183,736.94
6493,2262.85
3208,1236.82
4728,1113.205
2461,1602.04
473,980.3600000000001
977,1830.425
209,1417.05
1990,2642.76
906,1648.96
6248,667.58
7749,553.95
4953,512.51
1792,1125.7649999999999
6586,909.18
2331,5514.21
1222,450.195
4340,777.55
5935,419.0
3989,699.0
1264,561.315
7114,1485.9
6306,299.0
7018,722.07
4882,559.9
5221,1513.99
292,1895.0900000000001
2965,1794.76
1064,787.8499999999999
3180,1153.21
8005,1039.95
272,525.03
2071,1772.4049999999997
5336,1228.14
2631,661.88
2878,2681.63
3002,427.53999999999996
1099,5033.795
7560,1374.95
6619,1959.9
4457,904.9
5791,1599.95
2720,3075.0
3548,5087.04
5143,1399.9
7117,1458.9
3337,5430.71
2944,1062.56
7095,614.95
4045,916.8199999999999
617,1490.1
4280,748.515
4617,999.565
4053,2482.36
4528,775.62
4742,582.985
1767,573.4549999999999
7284,693.9
3627,301.9
2600,2363.31
5058,724.0
4821,775.335
3626,1142.34
2183,2636.575
1357,573.1700000000001
7799,1264.95
6072,441.16
5799,2381.49
962,639.1
2705,421.99
1523,2704.08
5365,570.66
8016,999.95
4162,369.0
1134,1137.855
4582,864.085
4876,4216.86
3831,1093.77
7195,939.95
5264,364.0
4851,569.0
418,623.535
4798,692.415
2477,2223.51
4208,800.86
568,1413.0
2577,510.3
1237,1846.72
142,865.84
1509,449.0
7040,489.99
7923,713.78
2033,543.7950000000001
1207,1152.615
5977,1958.835
2755,357.98
1775,3071.1899999999996
499,1279.0
6933,7232.39
7883,1434.95
922,884.88
728,2232.23
5885,5466.42
4398,691.9100000000001
1515,489.0
5158,2233.055
1539,826.495
5171,833.02
7463,1642.9
3893,3552.06
7275,472.9
6514,1647.98
108,1057.36
1773,676.435
5672,384.0
1364,1104.635
7917,1899.9
5794,2769.73
6125,1654.525
2002,930.08
336,2698.29
6941,1234.95
7112,624.95
3642,2036.0
2998,2787.6
6634,1009.09
3466,2647.87
731,1162.83
772,452.585
4397,1104.0900000000001
3881,913.63
4560,679.45
307,3322.35
1291,850.105
3942,3225.06
3746,391.75
6295,982.73
5213,2699.99
7320,1091.9
1811,2527.12
4377,746.745
3960,511.2
5697,1524.74
2082,1140.975
3115,1981.25
3065,1624.25
71,271.505
5610,12317.43
5092,1138.995
7414,645.95
6165,1656.03
1273,608.0550000000001
1685,3350.1349999999998
2954,810.54
4052,1128.99
6981,1687.82
3054,534.81
2196,679.52
7682,1459.9
2584,520.14
1714,361.51
1108,3586.0249999999996
6085,316.145
5919,469.0
4683,395.975
1649,1553.2150000000001
6988,1224.95
1910,2130.495
5450,1813.975
5425,2762.68
1631,1169.835
988,576.845
4004,7454.43
5751,679.0
3321,637.99
857,433.0
5628,1426.13
4568,618.39
2302,1436.51
2433,1278.39
3974,1127.12
1855,2522.63
4435,354.79
47,704.675
5043,466.26
1363,405.685
7515,1749.9
3060,1925.995
448,1719.0
2277,909.215
1762,1234.4850000000001
853,599.8499999999999
4769,512.425
3091,813.93
2487,909.0
682,2416.475
3932,386.46
4563,2799.965
1307,1623.955
2746,1349.0
5116,705.36
4593,1201.9850000000001
7541,1499.95
5785,1424.95
4847,222.495
1125,2239.15
783,699.0
7628,522.95
2260,2116.465
2257,702.975
2182,847.13
5973,573.0
3803,1689.67
3048,1107.205
1379,1443.065
1488,1272.81
1879,371.435
1992,1098.99
5441,189.9
5416,799.635
5389,918.6949999999999
3894,6433.77
487,436.855
2268,2449.0
4839,427.7
3082,1871.13
6825,735.49
6201,632.92
30,2480.915
1908,1621.435
5864,1325.9
3568,955.0
5538,1298.68
3397,955.49
7870,3485.02
6203,1252.86
1049,1611.21
640,1426.13
5146,1059.4450000000002
3027,587.975
1096,2056.0
2670,1147.27
870,1703.055
4048,147.60500000000002
913,3723.925
4909,819.79
109,1094.99
7758,1999.95
5051,1539.9
5726,1490.1999999999998
6674,773.26
6789,675.0
6929,2982.02
5937,974.95
1856,483.775
3935,2779.23
3062,435.69
790,2238.2799999999997
8009,1609.95
4961,818.5
4553,801.855
2812,3899.0
4355,635.565
1849,878.265
2672,423.0
5574,1020.28
1107,489.0
5676,1278.99
6112,1399.95
8001,1009.95
6294,2809.9
3323,1634.05
2851,1305.27
1673,2192.565
6618,1649.99
7396,844.95
2355,2909.27
2457,1251.9
6518,607.03
2711,1590.41
3055,826.76
2735,3951.97
7881,876.93
5270,535.9449999999999
3490,584.9549999999999
5066,2680.99
7836,195.99
178,1752.505
7410,1099.95
3781,678.725
6677,572.92
1217,790.315
2231,2512.375
3413,1041.35
6561,886.38
6235,1944.31
3459,1759.0
8017,1979.95
6656,837.54
1789,1785.12
837,3796.92
951,635.71
4011,716.79
2536,701.54
631,870.515
7781,1199.95
4773,954.39
935,6973.965
295,231.91
1065,1265.4650000000001
2764,1362.6
4795,979.8299999999999
4421,1304.23
2853,926.0
2846,1917.43
954,693.965
7999,999.95
6706,714.95
12,1312.56
1130,610.3199999999999
6858,1799.0
7890,660.95
7005,789.95
3103,1934.99
6787,599.0
1332,324.44
786,382.92499999999995
7880,1799.0
7385,1374.95
3621,735.84
7819,869.95
4131,378.995
657,2603.8050000000003
2527,2755.46
6989,927.61
3376,1809.0
6985,699.95
4679,1131.6950000000002
4983,637.26
7862,1749.0
8004,2329.95
6522,3159.9
7063,3198.99
6678,874.39
6765,1000.57
4104,1173.995
5621,2647.11
574,3717.6949999999997
1465,3351.4849999999997
4852,749.0
4067,756.06
6574,2227.17
7119,2596.42
1764,2230.78
2798,2249.0
1609,1167.51
3825,304.29
287,1247.06
1757,2435.44
5080,679.9
7135,1639.95
3432,2251.02
5024,4053.455
6602,2901.99
3841,2247.52
5268,613.0
2884,3907.53
1703,1393.745
5278,1490.51
1351,623.9100000000001
6598,908.99
2799,1695.0
4943,2072.44
6630,936.99
7667,1201.98
8051,2314.0
2288,2493.77
4697,689.03
4919,865.185
3964,233.43
6657,1367.54
5265,1760.22
7314,1407.91
1583,2309.6549999999997
6173,2253.61
4712,494.42999999999995
3914,3603.6
7767,1999.95
2214,266.855
3878,1463.36
1244,1493.125
5100,2093.9
1271,3810.305
2284,935.45
1980,1629.0
7503,558.95
113,358.03
6862,729.33
2560,1729.95
5923,746.2
4061,574.45
3084,4203.45
2599,1889.47
3812,823.3
509,1900.0300000000002
4441,841.495
4102,1199.0
3522,2663.42
3634,2463.0
7868,1779.95
4311,410.145
2907,545.55
4744,532.255
4322,908.405
7592,984.95
351,570.75
4799,586.015
4408,740.905
4543,396.17
2556,728.85
2675,990.595
4394,1919.0149999999999
1127,1079.825
2903,791.0
5713,1293.0
298,238.215
1694,1877.0549999999998
6415,1099.9
7644,2438.4449999999997
3396,995.0
6163,1852.345
6597,1699.9
6875,1012.9
7025,1174.95
229,3686.085
76,1615.9050000000002
3713,428.3
5614,1066.47
6340,1269.81
5210,1419.99
2132,362.6
6358,1938.73
3529,2540.0
3293,2636.37
5604,485.32
5408,692.49
1633,840.79
611,2308.92
7647,1861.73
1106,595.5699999999999
7438,1743.64
2678,435.0
6549,1438.84
7921,1999.9
7660,1899.0
203,829.0
2428,3755.165
7009,844.95
5124,1619.99
845,737.8199999999999
2991,499.0
4872,728.89
7997,999.95
1243,1988.8400000000001
6139,2869.72
1628,5056.67
3481,1032.87
5091,618.98
4780,1024.835
4364,1263.9650000000001
2789,1272.92
3307,2754.5
6209,517.99
7872,989.0
4153,358.24
3188,555.0
6336,2119.9
7743,1339.95
3619,1399.0
5054,824.44
5983,1452.26
661,330.945
798,865.0
3045,4868.79
7162,1124.95
6665,701.76
2613,2049.0
5662,1062.37
1372,1520.97
5936,1919.9
2382,1628.38
6958,770.15
6547,3239.9
2838,1491.24
3241,997.71
5939,8153.91
6644,319.0
7061,499.0
3774,5807.67
4154,1899.0
2628,1714.99
6181,1389.62
4111,1445.99
4198,547.4200000000001
5735,909.99
6902,1321.0
1799,576.04
3378,459.0
811,1192.47
866,811.76
4631,1102.53
4735,2149.99
1000,2260.87
5440,4942.37
4890,718.345
5592,917.005
5716,799.99
219,643.535
3262,454.01
1301,997.06
586,646.61
2673,6686.27
43,945.635
1247,1909.21
6581,1745.99
3443,972.2
3285,686.46
7803,1164.95
1921,1887.9099999999999
4936,579.9
7075,179.0
7073,1789.9
6682,1670.44
1084,1799.875
725,479.0
2404,1539.99
1524,453.745
674,1117.46
4860,507.53999999999996
3009,2908.99
7113,1981.75
6468,1361.99
6739,839.0
907,317.375
6508,7313.73
2723,732.645
2947,1148.99
4160,2429.59
1549,737.81
6848,274.0
6763,2726.03
5801,1399.95
6454,2682.8
4442,5499.99
3640,1766.28
3972,608.68
3366,2105.16
6167,709.67
1903,1073.29
2410,417.74
1788,814.79
6728,4960.51
4902,959.7
2012,2592.68
534,670.265
5798,1734.75
6748,1993.37
4038,3049.9849999999997
2938,499.0
81,1048.845
7785,1314.95
5566,1777.53
2192,553.05
738,940.81
2373,1661.75
5882,4346.16
2261,2411.1
3779,1466.75
3637,1716.49
7607,2269.95
5129,357.385
4667,1153.995
4406,1094.17
3788,908.05
7948,542.95
2762,999.0
1268,1653.855
2133,1408.0
4371,640.4449999999999
5354,380.07
6502,834.91
908,858.46
430,925.2
5596,4101.56
4519,470.325
6329,2229.9
7311,710.9
1235,1212.0549999999998
6261,909.0
6191,1537.09
5807,1545.24
5206,1153.99
3272,1607.46
7099,1185.9
1640,858.505
7214,1949.95
6790,3182.99
6455,906.2
1109,496.745
2772,544.89
2101,729.0
7297,1252.86
7192,1649.95
4086,1178.48
3905,2906.77
6820,795.0
2642,2180.0
1808,10010.43
6925,2259.9
3957,5491.18
531,580.6700000000001
4085,686.495
192,811.1
3491,1487.93
1139,2297.525
4980,7900.0
6676,1282.99
6723,1102.49
304,729.0
5742,1014.625
1305,321.15
70,858.96
3559,1499.0
6554,983.63
2744,2108.18
6542,1139.9
5573,3332.18
839,1785.98
8003,1329.95
1474,1815.0
4997,870.7
4956,1022.0
238,3647.125
92,829.9100000000001
3034,1627.59
5839,425.0
7359,1874.95
5559,696.2349999999999
4898,1022.95
6915,933.2
7551,1939.95
4283,691.24
5099,1082.77
1011,863.6800000000001
6420,2551.99
7731,769.95
2417,1966.245
6230,2121.12
4696,2664.99
6662,1649.3
3279,10627.83
1551,663.48
2453,1274.05
7853,3360.21
413,1549.99
3597,2042.22
7738,704.9
2862,3029.6949999999997
7455,899.0
5950,5110.99
3144,4178.725
4501,1184.815
1755,1342.4650000000001
5600,775.11
5087,1976.2
7366,1199.95
7910,671.95
6162,610.5899999999999
3398,788.82
637,994.935
3080,4070.395
500,2265.76
6043,579.0
2513,913.63
4565,923.715
641,974.0
727,1449.0
288,1876.8
764,1010.77
3610,4898.68
3401,4412.89
3155,3336.92
4422,838.44
4815,256.115
7618,1399.95
451,1449.0
600,1809.0
3605,2999.06
1081,525.8299999999999
1971,557.2650000000001
1666,1231.26
7952,1359.95
5328,1180.97
2757,639.99
1719,1033.475
6484,813.92
5803,2282.19
3734,524.87
2999,1179.21
6627,2438.99
3479,3509.2599999999998
6049,1029.0
2152,624.5
4206,775.4449999999999
86,510.93500000000006
2340,1879.34
2734,333.9
5459,984.355
7739,2388.32
6731,1204.0
2649,1225.545
3682,3561.35
3118,529.0
1042,2923.46
4823,571.22
2933,2558.515
6775,1669.48
3916,908.15
2173,2699.0
3992,2012.3
6381,2549.9
5084,1319.9
1213,661.6800000000001
2054,2147.115
625,824.3050000000001
7344,1499.95
570,2029.125
4903,498.11
1863,1549.0
1347,2547.22
3882,1379.0
7673,132.5
2128,3277.87
6096,459.0
3409,330.26
4386,584.88
1707,1645.0900000000001
752,1598.71
5883,406.99
3646,876.66
2216,1677.2350000000001
195,853.99
1165,655.0
3416,699.38
5340,985.99
810,392.515
5191,1619.9
2385,729.0
7398,1399.95
3958,1290.0
7313,1769.9
5241,219.99
2097,2311.58
2964,2059.92
3567,650.99
6244,944.95
648,1178.2849999999999
7144,1749.95
6769,3231.94
5583,1454.665
6735,928.99
7269,1883.27
120,728.82
1796,1139.045
3038,3300.88
4331,1821.2849999999999
3135,4386.36
7864,1079.9
4849,449.0
3094,256.12
2164,3833.63
5615,5529.45
6478,906.99
134,753.595
7138,699.95
4410,508.28999999999996
4308,671.24
4934,1761.63
4015,632.2449999999999
2611,559.21
62,3288.48
5700,1142.0349999999999
7038,629.0
5351,2080.05
1661,1385.995
2517,1999.0
683,1389.3600000000001
7636,739.0
748,779.0
1224,689.27
2199,1420.975
6696,795.77
7707,1006.49
5385,1299.0
2957,501.095
3335,865.23
571,1102.495
1902,3985.13
652,1185.77
2651,714.245
1736,803.635
6702,546.75
2900,485.59
1405,764.19
6077,241.69
3644,2860.9
7702,726.9
3463,1383.75
5933,1694.395
491,788.165
495,626.4300000000001
696,986.69
5668,809.75
606,1649.0
1940,1446.245
5569,589.235
6652,1333.26
4008,3069.07
5736,1130.9
3544,2087.87
3755,865.0
5545,1485.99
2406,1776.48
1200,1703.6950000000002
274,1329.295
6473,898.465
6037,259.385
1374,1290.135
7681,1184.9
1545,540.095
5645,1268.3
3919,2206.26
7946,1569.95
7461,3862.665
4165,881.96
7588,1749.95
1350,1176.585
5052,1999.0
955,707.94
7007,1234.95
2280,1647.155
7606,1249.95
809,1421.105
5594,1449.99
2381,999.065
68,2035.4
5926,1014.95
5754,9129.2
2841,699.0
1617,795.505
4266,662.885
7225,1249.95
5254,4199.99
1522,1259.0
7096,3251.54
150,374.52
2861,1320.97
3670,1321.76
2115,2214.805
7360,542.95
2289,1345.845
6931,2039.9
4401,409.845
6849,179.99
4640,1269.8600000000001
868,1524.79
3506,779.9
5758,999.0
4570,5520.945
4871,699.62
4155,965.995
6009,2295.0
367,871.99
1446,3704.515
4360,798.27
5671,739.0
1798,1225.99
4949,1250.51
4232,910.7950000000001
1842,2398.99
5177,1119.9
850,1262.56
2761,919.98
1202,1400.19
175,1210.8600000000001
